Thread_Count,Run,Time_without_slaves,Time_with_slaves
1,1,6422,6370
1,2,6420,6351
1,3,6421,6355
1,4,6424,6364
1,5,6421,6362
2,1,5638,5559
2,2,5635,5559
2,3,5636,5556
2,4,5640,5555
2,5,5636,5552
4,1,3297,3258
4,2,3297,3252
4,3,3300,3253
4,4,3297,3259
4,5,3300,3252
8,1,1911,1900
8,2,1911,1907
8,3,1910,1903
8,4,1913,1908
8,5,1913,1901
16,1,1489,1400
16,2,1486,1410
16,3,1486,1405
16,4,1490,1406
16,5,1487,1405
32,1,1381,1303
32,2,1409,1295
32,3,1383,1303
32,4,1408,1296
32,5,1408,1308
64,1,1406,1291
64,2,1393,1291
64,3,1401,1294
64,4,1392,1302
64,5,1402,1301
128,1,1389,1290
128,2,1408,1301
128,3,1383,1297
128,4,1394,1310
128,5,1408,1307
256,1,1409,1304
256,2,1386,1299
256,3,1395,1295
256,4,1385,1308
256,5,1388,1293
512,1,1391,1296
512,2,1391,1305
512,3,1408,1309
512,4,1402,1303
512,5,1410,1300
1024,1,1409,1302
1024,2,1381,1295
1024,3,1380,1302
1024,4,1391,1303
1024,5,1403,1302
